,site_url,page_url,src,alt,model_alts
0,https://naturalhistory.si.edu,https://naturalhistory.si.edu/,https://naturalhistory.si.edu/sites/default/files/media/image/si-logo-white.png,Smithsonian Logo white,['a black and white logo with the word smithsonian on it']
1,https://naturalhistory.si.edu,https://naturalhistory.si.edu/,https://naturalhistory.si.edu/sites/default/files/styles/hero/public/media/image/nmnh1807141026resizedcrop.jpg.webp?itok=cih_ep7S,A family looks out over Henry the elephant in the rotunda of the museum. ,['a large elephant statue in the middle of a museum']
2,https://naturalhistory.si.edu,https://naturalhistory.si.edu/,https://naturalhistory.si.edu/sites/default/files/styles/visual/public/media/image/230624-webcutout-02.png.webp?itok=ukOiS7FX,Two young women posing for a selfie as one of them holds up a yellow smartphone. One woman is medium-skinned and the other is light-skinned.,['two young women taking a selfie with a yellow phone']
3,https://naturalhistory.si.edu,https://naturalhistory.si.edu/,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/pr-lightsout-56-entry2-nik6807p-babaktafreshi-twan.jpg.webp?itok=LHvAOOF9,a bright halo of stars over a dark landscape ,['the milky way over a mountain range with rocks in the foreground']
4,https://naturalhistory.si.edu,https://naturalhistory.si.edu/,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/brandon-b-sign-20.jpeg.webp?itok=8o0HnL28,a black man with orange hair kneeling under giant sunflower with a sign reads nature is the pillar of community,['a man kneeling in front of a garden holding a sign']
5,https://naturalhistory.si.edu,https://naturalhistory.si.edu/,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/nhb2017-000221.jpg.webp?itok=slNts9cl,A fossilized T. rex biting a triceratops,['an image of a dinosaur skeleton with a sword']
6,https://naturalhistory.si.edu,https://naturalhistory.si.edu/,https://naturalhistory.si.edu/sites/default/files/styles/visual/public/media/image/220623-webcutout-01.png.webp?itok=xCb3N3p4,"A man wearing a fedora, standing on a stage behind a microphone and holding a guitar. A sign behind him reads, ""MISTER G.""",['a man holding an acoustic guitar in front of a microphone']
7,https://naturalhistory.si.edu,https://naturalhistory.si.edu/,https://naturalhistory.si.edu/sites/default/files/styles/hero/public/media/image/nmnh1806308502resizedcrop.jpg.webp?itok=oua2HoKG,Two children put their hands on a mural at the Museum.,['two children climbing on the wall of a cave']
8,https://naturalhistory.si.edu,https://naturalhistory.si.edu/,https://naturalhistory.si.edu/sites/default/files/styles/visual/public/media/image/181024butterfly-graphic-v2.png.webp?itok=9Jqwrw1n,"A blue and black Blue Morpho butterfly and two red, orange, and black monarch butterflies",['three butterflies are shown in a black background']
9,https://naturalhistory.si.edu,https://naturalhistory.si.edu/,https://naturalhistory.si.edu/sites/default/files/styles/callout/public/media/image/nmnh1807141339small.jpg.webp?itok=FJs3P_dH,Two children explore collections items in the Museum.,['two children looking at an alligator in a museum']
